,M1646_1,M1647_1,M01135_GAMYB_Q2,M0040_1,M0041_1,M1313_1,M0149_1,M01164_SQUA_01,M2368_1,M0008_1,M2369_1,ATHB2_binding_site_motif,M1561_1,LS5_promoter_element,M1678_1,M1679_1,M0821_1,E2F_DP_BS_in_AtCDC6,ACE_promoter_motif,M0037_1,M2356_1,M00151_AG_01,M0036_1,M2357_1,M1365_1,M01191_HDG7_01,SORLREP1,EveningElement_promoter_motif,OBP-1-4-5_BS_in_GST6,M1697_1,M1696_1,M0265_1,M0264_1,M2363_1,M00440_CG1_Q6,M1211_1,T-box_promoter_motif,M00819_KNOX3_01,M0142_1,M00417_ATHB9_01,M1921_1,Bellringer_replumless_pennywise_BS3_IN_AG,M1319_1,SORLIP1,M00344_RAV1_02,M00942_CPRF1_01,M01054_BHLH66_01,M00681_WRKY_Q2,M00376_TGA1A_Q2,M00441_GBF_Q2,M01114_E2F_Q2,M00479_ALFIN1_Q2,M1326_1,M1327_1,SORLIP3,AP1_BS_in_AP3,TGA1_binding_site_motif,M1576_1,M0370_1,M0371_1,M0840_1,M1618_1,M0841_1,M1619_1,M00089_ATHB1_01,M0591_1,M0590_1,ATB2_AtbZIP53_AtbZIP44_GBF5_BS_in_ProDH,M1650_1,M2662_1,M0765_1,M0764_1,Inr,M1842_1,M2341_1,M0020_1,M0021_1,M0653_1,M00943_TAF1_01,M00345_GAMYB_01,EIN3_BS_in_ERF1,AGL15_BS_in_AtGA2ox6,M0155_1,M0014_1,M0272_1,M0273_1,M0015_1,M2374_1,M00408_MADSA_Q2,M01133_AG_Q2,M1346_1,HSEs_binding_site_motif,M1680_1,M1681_1,M1403_1,SORLREP3,M1402_1,M1331_1,M1330_1,M00969_ATMYB15_01,Y_Patch,M01180_SPL14_01,M1940_1,M1941_1,M0682_1,Bellringer_replumless_pennywise_BS2_IN_AG,M01194_PDF2_01,CCA1_binding_site_motif,OBF4-5_BS_in_GST6,M0847_1,M0846_1,M0019_1,M0018_1,M2379_1,M00352_DOF1_01,M0376_1,M1656_1,M1657_1,M1303_1,M0762_1,M0763_1,M0158_1,M0027_1,M2346_1,AG_BS_in_SPL_NOZ,M0026_1,M2347_1,M1620_1,M00968_ATMYB77_01,M01189_CBNAC_02,M00700_ROM_Q2,M00654_OSBZ8_Q6,M0654_1,M0655_1,M00404_MADSB_Q2,M0166_1,M0167_1,M0153_1,M00371_CPRF2_Q2,M1309_1,M0768_1,M0769_1,M00949_AGL15_01,M00506_LIM1_01,M1686_1,M0081_1,M0080_1,M0013_1,M2373_1,M0012_1,M1341_1,M1340_1,M1404_1,M1405_1,M00788_EMBP1_02,M1663_1,M00392_AGL3_01,M01062_AGL2_02,M1336_1,M1337_1,M1277_1,AtMYB2_BS_in_RD22,LFY_consensus_binding_site_motif,M1276_1,M00401_ABF1_03,M00434_PIF3_01,ARF_binding_site_motif,SBP-box_promoter_motif,M0581_1,M0329_1,M00702_SPF1_Q2,SORLREP5,M1315_1,M1314_1,JASE1_motif_in_OPR1,M1566_1,M1700_1,M00442_ABF_Q2,M1701_1,Nonamer_promoter_motif,M1567_1,M0268_1,M0269_1,M0850_1,M0851_1,M0079_1,M0078_1,CArG1_motif_in_AP3,M0256_1,M2351_1,M0030_1,M2350_1,M0031_1,M0257_1,M00367_HBP1A_Q2,M1363_1,M0262_1,M0004_1,M2365_1,M0005_1,M2364_1,M0263_1,M00370_CPRF3_Q2,AP1_BS_in_SUP,CArG2_motif_in_AP3,M1690_1,M1691_1,M0677_1,M0145_1,M00439_C1_Q2,DRE_promoter_motif,CArG3_motif_in_AP3,M00375_TGA1B_Q2,M01006_AGP1_01,SORLIP5,M0073_1,M0072_1,M00315_GEN_INI_B,M01186_STF1_01,M1321_1,M1320_1,M01050_ARR10_01,M2380_1,M2381_1,M0649_1,M0648_1,M01188_CBNAC_01,ATHB6_binding_site_motif,M0156_1,M0157_1,M0665_1,M1345_1,M1344_1,M0849_1,M0848_1,M0017_1,M0271_1,M0270_1,M0016_1,M00950_AG_02,M2377_1,M1683_1,M1682_1,CArG_promoter_motif,M01156_BZR1_01,M1332_1,PI_promoter_motif,M1333_1,M1400_1,M1401_1,M01021_ID1_01,M0029_1,M2348_1,M0028_1,M2349_1,M0681_1,RY-repeat_promoter_motif,M0680_1,M1943_1,M0121_1,M1575_1,M0373_1,M0372_1,M1689_1,M1688_1,M0843_1,M0842_1,M1836_1,M2661_1,M0766_1,M0767_1,GCbox,CAATbox,M1278_1,M00653_OCSBF1_01,M2342_1,M0023_1,M2343_1,M0022_1,M0162_1,M0163_1,M01052_MYB80_01,M0650_1,M0651_1,M01192_HDG9_01,JASE2_motif_in_OPR1,M00937_TGA1A_Q2_01,M0758_1,M0759_1,M1338_1,M1339_1,M1694_1,M1695_1,M1569_1,M00958_ABI4_01,M2361_1,M0266_1,M01055_NAC691_01,SORLREP2,M0267_1,M00368_CPRF_Q2,LFY_BS_in_AP3,M2699_1,M00343_RAV1_01,CBF1_BS_in_cor15a,M00948_PCF2_01,M00369_TAF1_Q2,M0258_1,M0259_1,M1325_1,W-box_promoter_motif,M1324_1,RAV1-B_binding_site_motif,M1416_1,M0771_1,M0770_1,DPBF1_2_binding_site_motif,M1645_1,M1644_1,M0043_1,M00936_HBPA1_Q6_01,M0854_1,CCA1_motif1_BS_in_CAB1,MYB_binding_site_promoter,M00353_DOF2_01,M00366_EMBP1_Q2,M1562_1,L1-box_promoter_motif,M1563_1,TEF-box_promoter_motif,M01061_AGL2_01,SORLIP2,M0646_1,M00635_GT1_Q6,Hexamer_promoter_motif,EIL1_BS_in_ERF1,M0034_1,M2355_1,M0252_1,M0035_1,M2354_1,ATHB1_binding_site_motif,M00503_ATHB5_01,DRE-like_promoter_motif,M00735_ZAP1_01,M00507_TRAB1_Q2,M0261_1,M0007_1,M0006_1,M0260_1,M1693_1,M1692_1,M0369_1,M1648_1,M1649_1,M0229_1,M0588_1,M0589_1,M0146_1,M0147_1,M0039_1,M2358_1,M0038_1,M2359_1,LS7_promoter_element,M01179_CBT_01,M00435_PIF3_02,M1322_1,M1323_1,M00393_AGL3_02,M00399_ABF1_01,M1410_1,M1411_1,M1677_1,M2383_1,M2382_1,M00660_RITA1_01,M0582_1,M0583_1,GATA_promoter_motif_LRE,M1316_1,M1317_1,M1642_1,CCA1_motif2_BS_in_CAB1,M1702_1,TATAbox,M1564_1,M1699_1,BoxII_promoter_motif,M01059_AGL1_01,M00501_ANT_01,M0853_1,M0852_1,M00952_PCF5_01,Z-box_promoter_motif,octamer_promoter_motif,M1329_1,GA,M2863_1,M1195_1,Ibox_promoter_motif,M00355_PBF_01,M0255_1,M2352_1,M0033_1,M2353_1,M01193_ML1_01,M0032_1,M0151_1,M0150_1,SORLIP4,M00502_TEIL_01,M01060_AGL1_02,M00354_DOF3_01,M00361_CDC5_01,M1932_1,M1684_1,M1685_1,M01136_DOF_Q2,M0118_1,M0119_1,M01126_BPC1_Q2,M00970_ATMYB84_01,M1343_1,M2371_1,M0010_1,M2370_1,M0011_1,ABFs_binding_site_motif,CBF2_binding_site_motif,M00945_CPRF2_01,M01187_STF1_02,M1335_1,M1334_1,M1407_1,TELO-box_promoter_motif,M1406_1,E2F_binding_site_motif,M01128_SED_Q2,M00149_SBF1_01,M1274_1,M1275_1,M0844_1,M0845_1,Bellringer_replumless_pennywise_BS1_IN_AG,M00697_HBP1B_Q6,PRHA_BS_in_PAL1,M0761_1,M0760_1,MRE_motif_in_CHS,M1655_1,M1209_1,VOZ_binding_site,SORLREP4,M01130_PBF_Q2,M0024_1,M2345_1,M0025_1,M2344_1,M00946_TGA1B_01,M00400_ABF1_02,M01057_ERF2_01,M0165_1,M0164_1,M0657_1,M0656_1
Chr1_-_24171502_AT1G65060_tair(-),47,51,78,52,73,39,38,36,61,44,87,38,55,64,44,46,35,177,59,80,46,39,75,41,33,32,30,43,52,51,47,36,45,75,50,43,64,50,32,53,39,42,31,58,61,41,40,40,57,51,69,74,40,56,36,39,39,33,28,46,48,69,63,66,34,40,39,37,51,36,49,40,62,23,45,67,62,48,58,59,171,36,58,68,61,36,66,44,36,44,44,40,44,44,37,42,40,59,40,51,130,43,51,48,38,34,29,69,174,57,41,75,87,67,48,32,63,62,42,33,35,41,71,59,57,59,123,61,61,41,63,99,42,37,49,48,50,45,52,31,44,37,31,100,42,44,55,47,55,79,63,28,52,33,40,44,48,39,38,51,52,52,35,41,102,60,49,40,55,44,33,35,48,39,43,41,45,70,44,39,37,49,35,23,43,58,42,120,65,69,36,75,56,63,57,58,40,70,29,64,73,50,51,42,138,44,39,63,52,81,47,164,65,45,45,54,48,57,50,42,55,46,65,41,47,48,35,35,46,28,49,56,39,21,39,57,39,34,78,35,39,37,43,36,38,40,41,58,54,48,63,84,52,73,37,45,44,42,89,37,31,41,27,40,46,24,30,35,32,44,51,62,37,37,34,48,74,57,81,40,48,49,47,37,44,73,68,40,41,41,40,46,35,35,92,40,46,73,37,48,46,55,60,59,43,64,56,45,40,46,28,57,36,53,46,40,68,56,68,85,74,38,47,72,42,50,43,22,38,58,46,29,29,16,60,152,47,36,51,68,43,39,40,53,42,64,61,80,91,39,42,44,38,56,67,51,50,63,38,54,70,53,66,42,42,62,64,35,53,41,91,54,51,37,70,58,40,51,60,39,31,37,8,57,37,23,47,46,25,48,58,41,31,60,35,57,43,41,76,41,26,51,39,78,86,42,40,54,44,26,20,46,40,46,67,48,45,45,59,33,18,45,57,37,34,67,43,62,41,44,49,47,31,55,47,53,55,52,61,36,62,55,17,44,57,76,113,40,39,198,51,37,54,59,40,70,58,91,58,54,120,64,50,44,44,36
Chr1_+_24577553_AT1G66020_tair(+),37,35,26,27,31,30,35,33,37,43,44,46,28,32,33,35,22,57,51,31,39,42,27,38,33,48,23,54,33,34,37,43,32,44,31,32,60,43,21,38,46,35,29,40,36,32,30,33,32,35,41,47,35,33,25,35,51,17,21,31,27,24,32,18,27,48,49,37,41,22,43,35,41,31,46,27,23,49,38,27,63,42,34,28,35,40,29,44,49,46,34,48,36,35,38,45,25,39,27,36,64,35,49,39,37,37,34,59,65,31,41,32,32,48,46,19,45,39,42,42,33,29,37,32,42,32,116,27,37,34,34,34,49,26,41,32,32,30,35,37,41,32,28,42,32,37,33,41,39,32,32,20,44,26,36,38,37,32,46,36,21,40,34,36,63,55,30,37,29,33,30,32,45,34,38,29,29,45,33,32,24,40,37,38,39,20,34,53,33,40,31,37,34,44,30,39,37,24,29,31,41,35,36,35,58,29,26,36,75,33,28,66,33,35,47,36,30,36,44,31,41,41,46,51,47,52,38,41,28,28,31,32,39,19,39,24,39,27,30,40,34,30,33,41,37,24,47,31,30,27,40,31,47,31,50,34,35,38,46,26,13,25,25,41,33,40,31,39,24,40,28,34,42,35,27,35,30,35,23,36,35,32,30,45,28,32,45,45,38,28,37,38,37,27,35,34,43,41,38,40,39,37,49,39,34,42,35,40,35,34,30,35,21,30,23,35,35,33,42,28,38,46,49,34,37,43,26,37,25,36,33,23,38,32,31,57,38,39,31,26,42,23,30,34,31,39,36,29,33,37,33,31,25,41,47,40,48,59,43,35,31,40,27,38,27,46,41,32,41,25,45,29,22,23,32,32,35,28,49,54,32,43,8,42,32,34,26,36,26,39,42,42,12,40,28,32,27,53,45,27,35,41,31,53,32,43,41,27,32,33,43,35,41,43,39,30,37,35,51,22,30,69,42,27,37,23,30,23,33,36,38,39,35,37,35,44,30,51,32,29,27,26,20,33,52,38,52,37,40,54,42,46,33,51,52,29,35,29,38,30,49,26,30,30,49,33
Chr1_-_24989797_AT1G66960_tair(-),38,45,60,56,42,40,39,41,40,34,66,42,30,30,44,45,36,69,36,43,60,48,38,47,34,56,43,31,37,49,49,29,38,68,40,32,63,37,22,45,38,34,40,33,44,40,42,37,32,39,61,55,30,25,33,35,47,21,29,36,40,47,23,47,37,47,64,28,47,33,43,34,39,45,64,39,44,45,40,55,112,43,41,40,47,35,48,55,59,33,39,33,43,40,36,55,30,26,40,55,44,42,64,41,33,35,42,40,97,42,38,43,48,54,46,20,35,40,26,26,29,41,60,27,63,56,133,51,39,40,41,55,49,37,62,44,42,46,41,45,30,26,42,49,43,43,40,33,45,40,38,22,49,36,41,37,40,44,33,31,49,45,34,50,81,64,23,31,34,44,31,35,30,34,37,32,46,59,52,37,33,43,38,40,29,31,46,62,43,44,41,44,49,41,38,29,46,39,44,43,59,40,37,30,63,43,45,35,74,57,28,80,36,36,45,48,53,34,44,29,28,29,34,36,52,48,24,42,41,45,39,27,38,20,40,43,38,25,47,45,45,36,40,34,31,34,35,34,29,44,36,43,58,43,52,40,51,39,41,38,27,39,31,43,44,32,37,36,41,33,34,40,40,50,26,39,46,42,40,38,44,33,43,39,43,31,46,27,26,41,35,43,47,30,57,41,31,63,43,40,45,52,45,53,48,37,38,36,34,30,31,28,41,38,35,26,46,39,40,47,40,41,36,46,48,39,30,48,31,37,48,14,33,30,30,93,52,51,44,39,42,37,35,47,34,41,42,50,49,50,47,43,43,39,41,40,63,56,57,56,44,52,47,41,26,40,52,36,28,41,79,47,45,37,55,40,34,31,78,27,29,29,7,54,39,31,36,45,39,52,41,39,27,45,44,38,54,42,53,24,24,44,37,46,40,56,47,45,50,40,43,33,51,56,40,38,44,48,54,40,29,46,56,41,30,43,35,35,36,44,39,39,45,25,38,55,37,57,30,38,61,42,21,41,74,41,65,34,27,60,47,53,37,38,42,42,45,41,48,34,78,29,40,37,52,36
Chr1_-_26397565_AT1G70080_tair(-),29,23,34,24,26,25,30,32,35,54,40,33,28,34,28,27,27,43,44,32,42,23,25,31,42,36,36,40,39,30,32,36,31,30,27,28,53,27,19,45,44,42,36,29,25,30,35,23,20,32,30,32,38,40,23,38,50,7,18,20,25,19,35,13,18,40,39,27,43,36,45,36,49,33,40,19,25,36,30,34,54,47,32,23,34,33,22,40,38,23,27,37,27,25,26,62,25,46,27,35,56,31,34,47,16,26,27,58,54,27,29,24,28,32,38,23,30,31,46,43,27,25,26,35,34,28,87,27,35,31,27,35,35,27,35,37,21,28,30,35,38,36,23,43,34,33,34,54,44,23,35,15,29,34,40,38,38,31,28,37,17,28,18,22,42,29,26,39,30,31,30,28,41,32,32,35,24,38,26,40,34,35,35,30,31,14,32,40,37,35,37,27,30,34,29,30,26,21,29,21,38,30,30,33,40,27,28,27,61,34,24,39,24,52,46,31,35,29,58,29,36,55,28,39,40,47,36,32,29,26,18,31,34,17,26,19,33,41,32,25,32,30,21,27,26,27,39,23,28,31,40,33,39,24,40,25,44,27,30,28,13,24,23,39,24,28,24,37,36,40,27,21,18,27,28,24,20,32,28,20,27,37,26,32,30,29,47,45,44,23,34,29,32,28,31,28,22,34,33,41,33,19,29,44,37,29,26,27,37,32,35,37,18,28,32,25,34,29,26,23,31,41,38,29,34,33,29,46,24,35,31,14,31,34,21,61,34,24,28,23,27,31,25,31,32,24,35,34,28,34,28,28,23,30,28,30,42,54,45,28,20,39,21,31,33,40,27,37,37,28,40,33,17,25,23,24,29,22,65,47,28,34,9,50,29,39,24,29,23,26,33,30,13,28,45,42,24,57,39,25,36,38,31,48,31,31,34,28,34,30,47,30,24,38,37,32,28,26,48,30,39,50,45,27,25,26,32,17,31,35,28,48,34,36,32,30,32,33,34,22,17,18,22,28,50,23,35,36,39,51,35,37,27,43,45,23,42,25,33,27,41,22,29,26,43,25
Chr1_-_29526363_AT1G78480_tair(-),34,35,33,37,34,30,38,44,34,57,41,34,32,46,44,44,22,58,33,31,40,33,30,36,34,34,30,44,28,44,45,37,33,50,35,41,43,34,16,27,42,28,20,40,35,34,38,30,37,39,45,30,27,36,47,38,39,16,22,17,39,27,36,28,29,52,49,31,35,45,38,24,51,34,41,28,28,35,35,38,72,36,31,35,42,42,30,42,30,35,35,49,40,39,36,46,31,53,27,33,60,30,36,28,32,37,27,61,58,29,54,27,33,37,35,15,37,37,40,32,30,37,30,37,38,33,106,32,34,32,31,42,40,27,33,29,33,37,38,23,38,29,33,38,42,46,40,55,57,33,31,12,37,34,40,33,32,35,23,21,26,34,31,39,55,37,35,30,33,39,24,28,36,20,42,30,37,38,41,42,21,35,45,31,45,18,41,44,41,52,36,36,34,38,36,24,27,31,37,29,37,32,41,35,48,28,44,32,61,37,35,54,38,30,41,32,36,36,41,36,24,34,41,47,40,42,36,48,38,40,30,23,18,9,39,27,31,27,40,29,35,41,42,36,33,25,35,30,39,39,56,32,38,35,35,25,51,40,36,27,18,33,22,44,38,39,28,37,29,36,27,36,30,38,30,39,34,38,35,32,39,25,23,33,33,37,36,39,33,20,22,37,46,25,28,37,35,34,39,41,38,26,31,51,38,34,39,38,37,26,38,37,31,29,23,28,39,35,36,40,41,41,42,46,30,47,23,44,20,34,33,20,31,35,30,53,36,38,40,32,43,43,45,31,46,33,43,33,31,34,40,33,22,37,38,34,56,48,37,36,28,40,28,37,36,25,31,25,26,37,50,26,27,26,38,35,35,39,111,30,28,42,6,45,37,24,31,36,33,39,39,54,20,33,39,35,27,47,33,29,36,36,31,73,34,39,34,32,45,39,39,34,37,39,34,33,33,45,41,35,26,57,36,21,18,27,30,30,31,29,34,42,23,23,36,30,37,52,39,31,27,22,19,52,67,32,45,31,34,55,35,54,37,37,46,30,46,34,48,39,43,33,36,30,43,34
Chr1_+_29531646_AT1G78500_tair(+),35,38,31,60,39,30,36,37,51,47,46,38,31,32,32,39,42,63,50,34,42,41,30,55,48,52,32,44,48,39,36,45,38,62,33,32,59,32,26,48,50,24,55,36,40,29,58,43,30,44,39,81,48,49,43,23,59,16,26,36,31,32,57,30,35,46,41,29,42,36,47,50,52,34,44,37,36,47,35,30,131,60,58,27,43,44,43,62,60,33,30,56,35,37,28,57,28,41,52,70,48,35,45,50,38,30,42,44,109,36,45,39,37,49,46,20,34,34,39,61,40,32,48,32,50,44,91,49,51,57,36,37,33,27,51,56,25,43,30,53,45,51,38,50,38,33,38,55,46,43,48,26,42,34,38,37,35,33,54,51,20,23,34,27,86,55,31,33,29,34,22,43,53,54,42,32,40,58,40,42,35,49,45,34,42,19,41,79,44,48,40,32,42,42,40,46,38,38,31,34,61,35,36,44,83,32,31,38,50,43,37,86,33,45,49,49,48,40,51,43,45,57,37,55,33,40,43,27,42,53,37,51,49,20,46,30,41,35,33,37,34,35,29,45,40,39,44,35,35,39,38,37,39,35,43,32,64,43,41,42,23,44,33,31,27,35,40,41,36,48,41,38,36,31,27,40,42,41,42,35,47,48,24,47,40,43,52,50,51,40,54,36,45,27,35,43,30,54,35,36,37,51,56,43,36,35,38,36,45,45,27,48,25,20,42,39,33,35,35,33,42,41,33,28,43,42,40,55,26,59,45,19,34,31,20,101,46,46,45,36,35,25,39,27,30,44,41,48,37,46,31,35,35,33,35,48,34,38,53,50,29,45,32,54,31,52,49,36,50,33,84,37,26,34,43,47,32,27,76,53,50,51,8,42,32,26,20,38,40,42,51,42,30,43,40,51,32,51,52,40,41,55,44,48,38,47,44,40,43,42,64,41,44,49,40,41,36,39,56,29,30,54,92,48,34,46,48,34,43,36,30,42,60,48,34,38,38,44,38,32,42,41,27,36,29,39,54,59,57,74,41,43,40,50,43,32,54,35,35,35,62,30,44,38,39,34
Chr1_-_29688673_AT1G78950_tair(-),51,62,57,86,76,49,53,53,87,68,56,15,77,44,51,53,55,127,49,82,48,61,81,62,54,46,39,51,46,59,51,48,68,116,65,55,77,73,30,67,67,33,65,49,76,63,65,50,57,75,75,90,54,46,48,40,69,31,42,52,56,64,60,76,42,36,38,35,47,43,47,46,52,31,61,70,66,59,66,51,191,41,82,61,65,50,63,71,54,63,49,58,49,56,35,40,45,52,65,87,82,66,60,59,53,23,50,56,173,32,44,73,85,91,51,34,69,63,38,42,49,54,90,50,59,77,86,71,87,70,48,70,54,39,53,64,56,61,62,49,46,46,41,56,56,50,51,70,68,67,59,18,52,38,65,55,53,47,55,61,44,40,39,38,169,100,39,58,63,58,23,46,48,55,52,45,54,103,54,57,46,71,56,36,37,52,45,120,73,69,64,75,69,63,65,52,60,61,35,68,76,58,55,56,114,54,56,66,33,64,48,133,60,44,58,77,72,46,75,44,52,55,71,69,54,42,49,33,62,64,63,41,47,22,39,69,46,45,57,57,48,52,52,49,52,40,55,46,49,57,59,79,61,78,54,54,66,52,81,63,46,65,42,49,51,36,38,56,37,46,57,51,43,47,47,77,68,67,73,64,67,46,51,44,37,50,54,39,40,50,51,51,57,46,73,58,58,88,37,54,63,74,80,51,81,62,65,55,45,50,42,45,50,45,50,39,49,55,82,65,59,23,23,36,49,62,65,46,49,72,57,30,37,32,43,149,76,57,57,74,62,38,44,57,63,74,61,92,61,83,54,60,44,71,71,62,31,38,73,66,78,72,80,58,38,78,83,42,50,49,128,48,54,65,83,49,61,64,58,39,52,48,6,50,54,14,58,65,28,79,61,33,37,73,51,48,50,68,95,37,40,46,56,82,77,68,49,70,61,60,69,59,79,54,73,51,57,54,61,31,19,70,102,55,43,77,57,64,52,61,62,59,64,51,53,35,51,65,56,36,73,59,23,37,30,64,84,54,48,97,46,38,50,59,42,72,78,82,72,60,138,65,64,58,51,46
Chr1_-_29694255_AT1G78955_tair(-),38,49,50,41,53,43,42,28,44,37,65,34,41,51,57,47,39,68,40,53,30,27,52,43,31,41,37,40,38,55,55,39,40,62,49,44,53,40,18,48,48,37,30,46,48,50,50,31,53,65,42,42,39,35,42,31,45,30,37,37,41,47,41,44,21,45,37,30,36,33,32,31,60,42,38,49,40,34,57,51,93,38,52,45,48,36,44,40,42,32,29,38,46,51,38,63,31,37,42,53,59,43,53,44,34,35,46,44,86,37,30,53,53,56,39,27,49,46,35,35,35,44,47,50,42,58,95,50,44,35,51,51,38,39,36,47,48,48,59,32,34,28,29,47,52,40,34,39,48,46,41,16,53,42,43,35,26,30,36,36,34,29,32,31,65,58,33,48,35,48,30,26,34,26,34,39,54,58,57,43,40,53,41,45,29,37,42,58,62,40,34,61,50,46,59,35,38,46,26,47,42,42,57,28,61,45,46,46,57,44,40,86,51,38,30,49,40,32,35,30,39,44,46,41,34,34,35,35,51,48,44,32,32,15,37,46,35,34,50,30,30,48,57,20,46,31,37,37,36,55,54,51,35,51,33,31,44,37,51,21,24,39,30,46,55,30,27,27,26,30,32,44,35,36,33,40,48,57,53,49,42,33,32,38,39,50,48,38,39,32,40,44,51,32,54,43,43,42,41,55,51,46,31,46,62,47,59,57,37,31,28,35,37,42,34,27,48,48,43,52,51,38,38,29,33,58,50,43,34,45,29,20,47,29,47,75,48,42,45,51,47,32,38,43,36,39,50,56,53,40,48,46,30,49,52,52,54,57,50,38,51,36,48,43,37,52,57,32,35,29,66,42,41,34,53,40,49,43,76,40,24,36,9,43,43,29,39,50,36,34,46,31,19,46,44,42,35,31,54,22,27,34,45,51,51,46,41,45,43,49,40,43,33,39,46,33,40,49,36,29,26,41,50,29,27,48,39,45,50,51,58,39,34,35,47,45,31,45,44,31,42,33,23,29,62,49,63,43,39,66,38,34,40,54,36,45,64,50,54,55,78,43,45,45,38,43
Chr1_+_29696470_AT1G78960_tair(+),57,72,45,61,65,40,47,42,59,51,72,26,53,38,54,48,48,96,49,71,49,43,67,50,42,46,27,40,42,55,40,39,50,85,64,36,48,59,29,47,55,29,46,48,62,50,54,35,56,59,56,60,38,39,42,37,50,39,31,45,40,63,46,62,34,44,35,33,58,34,37,38,51,23,51,62,67,52,61,54,139,42,58,60,56,41,62,56,54,41,45,36,48,40,26,62,41,37,47,59,82,53,68,44,40,31,49,51,128,54,41,65,72,73,43,21,63,72,37,47,39,43,76,52,68,64,128,74,59,40,50,59,35,32,45,45,53,60,57,42,33,43,33,57,50,42,44,56,53,55,49,24,50,41,53,63,41,42,43,41,59,45,40,42,97,64,36,41,52,52,42,41,39,35,47,45,48,69,47,57,46,50,44,42,33,51,43,70,65,57,42,65,64,64,58,39,44,65,33,61,70,44,56,33,99,39,53,77,47,62,29,100,57,35,57,47,50,46,51,35,44,37,50,49,53,35,28,42,58,56,67,38,37,16,41,60,43,30,62,31,41,41,49,34,51,38,38,35,48,46,56,67,59,65,49,44,49,47,67,38,36,54,34,49,46,34,32,40,30,42,56,58,42,52,32,68,59,52,70,52,54,39,54,50,43,42,55,37,37,45,40,44,51,48,74,48,47,70,41,52,55,67,53,59,66,66,59,50,41,48,43,40,41,47,44,28,73,64,74,66,54,28,39,51,46,56,50,37,46,55,46,28,38,31,48,117,54,59,44,68,58,33,32,45,50,69,58,71,74,48,50,42,42,67,66,42,33,44,49,52,71,55,67,43,34,53,73,42,43,37,98,48,45,51,61,45,45,53,96,38,43,34,12,50,42,42,47,44,30,42,56,43,35,60,36,52,38,62,70,38,34,47,52,71,65,59,52,62,49,46,48,53,42,48,41,47,53,50,69,50,31,46,64,41,38,67,52,60,55,59,56,51,40,45,55,65,51,55,39,32,71,53,23,36,49,51,86,49,41,104,59,39,36,54,34,69,62,68,54,54,95,60,48,50,47,48
Chr1_+_29703062_AT1G78970_tair(+),36,29,41,51,47,31,37,40,52,46,48,33,40,39,31,36,35,75,55,50,52,33,39,46,41,38,41,43,44,37,32,36,34,59,43,38,56,35,20,44,51,31,30,35,41,43,50,30,45,47,43,48,38,25,40,38,51,25,30,33,39,39,43,41,30,47,43,26,41,36,37,28,36,30,63,42,37,45,49,42,108,34,43,40,53,36,37,42,58,31,26,46,28,33,32,61,30,33,47,56,47,37,54,47,26,26,32,52,84,35,32,42,45,45,45,25,29,28,43,30,27,48,55,40,50,48,147,46,52,40,35,45,28,34,56,39,41,48,51,35,33,28,34,44,37,45,41,48,47,43,32,14,42,39,45,35,36,35,35,39,27,32,26,26,76,57,29,47,42,41,27,41,29,32,31,37,35,51,36,47,37,34,38,33,26,28,44,66,44,54,34,50,40,37,45,42,41,43,29,39,58,43,45,35,62,29,31,42,52,48,34,78,44,38,41,40,38,31,47,21,41,41,34,55,36,37,45,34,47,44,35,46,30,13,40,44,37,39,46,31,37,28,28,35,37,28,30,37,29,36,61,47,56,44,57,21,44,23,47,29,26,35,33,32,29,29,33,31,22,28,33,34,31,32,38,47,41,41,49,45,39,27,30,41,28,45,36,30,28,35,36,28,32,33,51,41,51,59,39,42,45,39,42,52,55,32,47,41,38,35,31,24,33,34,29,26,55,35,37,44,40,31,34,31,43,52,35,36,32,32,41,15,24,23,31,82,36,44,46,41,50,37,41,41,36,48,57,46,50,45,35,31,24,29,33,44,42,46,56,35,40,46,37,37,21,43,56,33,44,39,70,39,32,37,43,33,46,32,118,38,35,44,8,38,27,36,34,34,30,36,48,32,24,31,40,35,29,62,49,29,29,47,32,67,45,49,34,36,43,45,38,33,36,51,39,37,33,31,60,28,21,55,49,25,37,42,45,42,45,46,49,51,35,33,42,28,32,41,47,36,41,37,21,26,39,45,63,38,33,78,39,39,32,48,42,39,57,52,51,42,74,38,34,46,42,29
